#期間中のwater_HPの消費電力量の差分:曝気あり，22/21℃
datetime,Type,Value,baseline_time,baseline_value,Difference_time,Difference_EC
2025-08-28 06:00:00,08-28 to 08-31,544.26,2025-08-27T21:00:00Z,544.26,0,0
2025-08-28 07:00:00,08-28 to 08-31,544.75,2025-08-27T21:00:00Z,544.26,1,0.4900000000000091
2025-08-28 08:00:00,08-28 to 08-31,545.24,2025-08-27T21:00:00Z,544.26,2,0.9800000000000182
2025-08-28 09:00:00,08-28 to 08-31,545.73,2025-08-27T21:00:00Z,544.26,3,1.4700000000000273
2025-08-28 10:00:00,08-28 to 08-31,546.21,2025-08-27T21:00:00Z,544.26,4,1.9500000000000455
2025-08-28 11:00:00,08-28 to 08-31,546.69,2025-08-27T21:00:00Z,544.26,5,2.4300000000000637
2025-08-28 12:00:00,08-28 to 08-31,547.17,2025-08-27T21:00:00Z,544.26,6,2.909999999999968
2025-08-28 13:00:00,08-28 to 08-31,547.65,2025-08-27T21:00:00Z,544.26,7,3.3899999999999864
2025-08-28 14:00:00,08-28 to 08-31,548.11,2025-08-27T21:00:00Z,544.26,8,3.8500000000000227
2025-08-28 15:00:00,08-28 to 08-31,548.58,2025-08-27T21:00:00Z,544.26,9,4.32000000000005
2025-08-28 16:00:00,08-28 to 08-31,549.03,2025-08-27T21:00:00Z,544.26,10,4.769999999999982
2025-08-28 17:00:00,08-28 to 08-31,549.47,2025-08-27T21:00:00Z,544.26,11,5.210000000000036
2025-08-28 18:00:00,08-28 to 08-31,549.79,2025-08-27T21:00:00Z,544.26,12,5.529999999999973
2025-08-28 19:00:00,08-28 to 08-31,550.1,2025-08-27T21:00:00Z,544.26,13,5.840000000000032
2025-08-28 20:00:00,08-28 to 08-31,550.39,2025-08-27T21:00:00Z,544.26,14,6.1299999999999955
2025-08-28 21:00:00,08-28 to 08-31,550.68,2025-08-27T21:00:00Z,544.26,15,6.419999999999959
2025-08-28 22:00:00,08-28 to 08-31,550.96,2025-08-27T21:00:00Z,544.26,16,6.7000000000000455
2025-08-28 23:00:00,08-28 to 08-31,551.24,2025-08-27T21:00:00Z,544.26,17,6.980000000000018
2025-08-29 00:00:00,08-28 to 08-31,551.53,2025-08-27T21:00:00Z,544.26,18,7.269999999999982
2025-08-29 01:00:00,08-28 to 08-31,551.81,2025-08-27T21:00:00Z,544.26,19,7.5499999999999545
2025-08-29 02:00:00,08-28 to 08-31,552.08,2025-08-27T21:00:00Z,544.26,20,7.82000000000005
2025-08-29 03:00:00,08-28 to 08-31,552.35,2025-08-27T21:00:00Z,544.26,21,8.090000000000032
2025-08-29 04:00:00,08-28 to 08-31,552.63,2025-08-27T21:00:00Z,544.26,22,8.370000000000005
2025-08-29 05:00:00,08-28 to 08-31,552.91,2025-08-27T21:00:00Z,544.26,23,8.649999999999977
2025-08-29 06:00:00,08-28 to 08-31,553.32,2025-08-27T21:00:00Z,544.26,24,9.06000000000006
2025-08-29 07:00:00,08-28 to 08-31,553.74,2025-08-27T21:00:00Z,544.26,25,9.480000000000018
2025-08-29 08:00:00,08-28 to 08-31,554.16,2025-08-27T21:00:00Z,544.26,26,9.899999999999977
2025-08-29 09:00:00,08-28 to 08-31,554.53,2025-08-27T21:00:00Z,544.26,27,10.269999999999982
2025-08-29 10:00:00,08-28 to 08-31,554.84,2025-08-27T21:00:00Z,544.26,28,10.580000000000041
