#期間中のwater_HPの消費電力量の差分:曝気なし，22/21℃
datetime,Type,Value,baseline_time,baseline_value,Difference_time,Difference_EC
2025-09-01 06:00:00,09-01 to 09-04,579.65,2025-08-31T21:00:00Z,579.65,0,0
2025-09-01 07:00:00,09-01 to 09-04,580.16,2025-08-31T21:00:00Z,579.65,1,0.5099999999999909
2025-09-01 08:00:00,09-01 to 09-04,580.66,2025-08-31T21:00:00Z,579.65,2,1.009999999999991
2025-09-01 09:00:00,09-01 to 09-04,581.18,2025-08-31T21:00:00Z,579.65,3,1.5299999999999727
2025-09-01 10:00:00,09-01 to 09-04,581.7,2025-08-31T21:00:00Z,579.65,4,2.050000000000068
2025-09-01 11:00:00,09-01 to 09-04,582.23,2025-08-31T21:00:00Z,579.65,5,2.580000000000041
2025-09-01 12:00:00,09-01 to 09-04,582.75,2025-08-31T21:00:00Z,579.65,6,3.1000000000000227
2025-09-01 13:00:00,09-01 to 09-04,583.28,2025-08-31T21:00:00Z,579.65,7,3.6299999999999955
2025-09-01 14:00:00,09-01 to 09-04,583.8,2025-08-31T21:00:00Z,579.65,8,4.149999999999977
2025-09-01 15:00:00,09-01 to 09-04,584.31,2025-08-31T21:00:00Z,579.65,9,4.659999999999968
2025-09-01 16:00:00,09-01 to 09-04,584.81,2025-08-31T21:00:00Z,579.65,10,5.159999999999968
2025-09-01 17:00:00,09-01 to 09-04,585.28,2025-08-31T21:00:00Z,579.65,11,5.6299999999999955
2025-09-01 18:00:00,09-01 to 09-04,585.61,2025-08-31T21:00:00Z,579.65,12,5.960000000000036
2025-09-01 19:00:00,09-01 to 09-04,585.94,2025-08-31T21:00:00Z,579.65,13,6.290000000000077
2025-09-01 20:00:00,09-01 to 09-04,586.27,2025-08-31T21:00:00Z,579.65,14,6.6200000000000045
2025-09-01 21:00:00,09-01 to 09-04,586.59,2025-08-31T21:00:00Z,579.65,15,6.940000000000055
2025-09-01 22:00:00,09-01 to 09-04,586.91,2025-08-31T21:00:00Z,579.65,16,7.259999999999991
2025-09-01 23:00:00,09-01 to 09-04,587.21,2025-08-31T21:00:00Z,579.65,17,7.560000000000059
2025-09-02 00:00:00,09-01 to 09-04,587.53,2025-08-31T21:00:00Z,579.65,18,7.8799999999999955
2025-09-02 01:00:00,09-01 to 09-04,587.67,2025-08-31T21:00:00Z,579.65,19,8.019999999999982
2025-09-02 02:00:00,09-01 to 09-04,587.79,2025-08-31T21:00:00Z,579.65,20,8.139999999999986
2025-09-02 03:00:00,09-01 to 09-04,588.06,2025-08-31T21:00:00Z,579.65,21,8.409999999999968
2025-09-02 04:00:00,09-01 to 09-04,588.34,2025-08-31T21:00:00Z,579.65,22,8.690000000000055
2025-09-02 05:00:00,09-01 to 09-04,588.61,2025-08-31T21:00:00Z,579.65,23,8.960000000000036
2025-09-02 06:00:00,09-01 to 09-04,588.93,2025-08-31T21:00:00Z,579.65,24,9.279999999999973
2025-09-02 07:00:00,09-01 to 09-04,589.42,2025-08-31T21:00:00Z,579.65,25,9.769999999999982
2025-09-02 08:00:00,09-01 to 09-04,589.93,2025-08-31T21:00:00Z,579.65,26,10.279999999999973
2025-09-02 09:00:00,09-01 to 09-04,590.42,2025-08-31T21:00:00Z,579.65,27,10.769999999999982
2025-09-02 10:00:00,09-01 to 09-04,590.93,2025-08-31T21:00:00Z,579.65,28,11.279999999999973
2025-09-02 11:00:00,09-01 to 09-04,591.4,2025-08-31T21:00:00Z,579.65,29,11.75
2025-09-02 12:00:00,09-01 to 09-04,591.92,2025-08-31T21:00:00Z,579.65,30,12.269999999999982
2025-09-02 13:00:00,09-01 to 09-04,592.44,2025-08-31T21:00:00Z,579.65,31,12.790000000000077
2025-09-02 14:00:00,09-01 to 09-04,592.99,2025-08-31T21:00:00Z,579.65,32,13.340000000000032
2025-09-02 15:00:00,09-01 to 09-04,593.36,2025-08-31T21:00:00Z,579.65,33,13.710000000000036
2025-09-02 16:00:00,09-01 to 09-04,593.68,2025-08-31T21:00:00Z,579.65,34,14.029999999999973
2025-09-02 17:00:00,09-01 to 09-04,593.97,2025-08-31T21:00:00Z,579.65,35,14.32000000000005
2025-09-02 18:00:00,09-01 to 09-04,594.26,2025-08-31T21:00:00Z,579.65,36,14.610000000000014
2025-09-02 19:00:00,09-01 to 09-04,594.6,2025-08-31T21:00:00Z,579.65,37,14.950000000000045
2025-09-02 20:00:00,09-01 to 09-04,594.96,2025-08-31T21:00:00Z,579.65,38,15.31000000000006
2025-09-02 21:00:00,09-01 to 09-04,595.3,2025-08-31T21:00:00Z,579.65,39,15.649999999999977
2025-09-02 22:00:00,09-01 to 09-04,595.63,2025-08-31T21:00:00Z,579.65,40,15.980000000000018
2025-09-02 23:00:00,09-01 to 09-04,595.96,2025-08-31T21:00:00Z,579.65,41,16.31000000000006
2025-09-03 00:00:00,09-01 to 09-04,596.29,2025-08-31T21:00:00Z,579.65,42,16.639999999999986
2025-09-03 01:00:00,09-01 to 09-04,596.58,2025-08-31T21:00:00Z,579.65,43,16.930000000000064
2025-09-03 02:00:00,09-01 to 09-04,596.88,2025-08-31T21:00:00Z,579.65,44,17.230000000000018
2025-09-03 03:00:00,09-01 to 09-04,597.15,2025-08-31T21:00:00Z,579.65,45,17.5
2025-09-03 04:00:00,09-01 to 09-04,597.33,2025-08-31T21:00:00Z,579.65,46,17.680000000000064
2025-09-03 05:00:00,09-01 to 09-04,597.62,2025-08-31T21:00:00Z,579.65,47,17.970000000000027
2025-09-03 06:00:00,09-01 to 09-04,597.93,2025-08-31T21:00:00Z,579.65,48,18.279999999999973
2025-09-03 07:00:00,09-01 to 09-04,598.41,2025-08-31T21:00:00Z,579.65,49,18.75999999999999
2025-09-03 08:00:00,09-01 to 09-04,598.93,2025-08-31T21:00:00Z,579.65,50,19.279999999999973
2025-09-03 09:00:00,09-01 to 09-04,599.45,2025-08-31T21:00:00Z,579.65,51,19.800000000000068
2025-09-03 10:00:00,09-01 to 09-04,599.97,2025-08-31T21:00:00Z,579.65,52,20.32000000000005
2025-09-03 11:00:00,09-01 to 09-04,600.49,2025-08-31T21:00:00Z,579.65,53,20.840000000000032
2025-09-03 12:00:00,09-01 to 09-04,601.02,2025-08-31T21:00:00Z,579.65,54,21.370000000000005
2025-09-03 13:00:00,09-01 to 09-04,601.52,2025-08-31T21:00:00Z,579.65,55,21.870000000000005
