#20250704から0904までの1日ごとのAir_HPとwater_HPの消費電力量の推移
date,Air_HP_kWh,Water_HP_kWh
2025-07-04,54.6700,14.9000
2025-07-05,91.7200,25.0100
2025-07-06,132.3300,36.0500
2025-07-07,173.1900,46.5300
2025-07-08,215.6700,58.0400
2025-07-09,258.0500,69.0900
2025-07-10,296.3300,79.3600
2025-07-11,318.8600,87.4500
2025-07-12,342.2700,95.6200
2025-07-13,373.7200,105.2100
2025-07-14,408.5800,115.0400
2025-07-15,449.4800,125.9300
2025-07-16,485.4900,135.6200
2025-07-17,521.8100,146.1900
2025-07-18,557.6900,156.3600
2025-07-19,591.9000,166.3500
2025-07-20,629.8100,176.8900
2025-07-21,670.4100,188.1200
2025-07-22,710.5900,198.8800
2025-07-23,749.6000,209.8300
2025-07-24,788.9800,220.4600
2025-07-25,828.1400,231.3200
2025-07-26,867.3800,241.6500
2025-07-27,904.2700,251.5400
2025-07-28,940.1800,261.4900
2025-07-29,976.4300,271.7100
2025-07-30,1012.2300,281.5100
2025-07-31,1044.3900,290.6000
2025-08-01,1071.4400,298.5200
2025-08-02,1105.8900,308.5200
2025-08-03,1141.7100,318.3000
2025-08-04,1176.8200,328.0100
2025-08-05,1213.8100,338.5100
2025-08-06,1251.5700,349.1200
2025-08-07,1286.4800,358.6200
2025-08-08,1320.3600,367.9400
2025-08-09,1352.9100,376.4100
2025-08-10,1381.8900,383.8500
2025-08-11,1412.8500,392.1900
2025-08-12,1446.4000,400.7800
2025-08-13,1477.4700,409.0800
2025-08-14,1509.0800,417.3800
2025-08-15,1533.7900,425.2500
2025-08-16,1556.1500,434.3600
2025-08-17,1580.5700,443.5600
2025-08-18,1608.0500,452.9800
2025-08-19,1632.7400,462.1400
2025-08-20,1656.9900,471.3700
2025-08-21,1683.6500,480.6600
2025-08-22,1708.6000,490.4600
2025-08-23,1734.1000,500.5000
2025-08-24,1760.9200,509.7300
2025-08-25,1786.8900,520.5000
2025-08-26,1811.2800,531.8600
2025-08-27,1836.9200,542.4900
2025-08-28,1859.7400,551.2400
2025-08-29,1879.6800,559.7700
2025-08-30,1906.4800,568.7000
2025-08-31,1932.9400,577.8800
2025-09-01,1957.9400,587.2100
2025-09-02,1983.0900,595.9600
2025-09-03,2008.3100,605.2700
