#20250704から0904までの1時間ごとのAir_HPとwater_HPの消費電力量の推移
hours,Air_HP_kWh,Water_HP_kWh
"2025-07-04 00:00:00",19.8200,5.1500
"2025-07-04 01:00:00",20.5000,5.4200
"2025-07-04 02:00:00",21.5800,5.7100
"2025-07-04 03:00:00",22.6800,6.0100
"2025-07-04 04:00:00",23.7100,6.3000
"2025-07-04 05:00:00",24.8300,6.6100
"2025-07-04 06:00:00",26.1700,7.0600
"2025-07-04 07:00:00",27.8300,7.5600
"2025-07-04 08:00:00",29.5900,8.0700
"2025-07-04 09:00:00",31.3800,8.5900
"2025-07-04 10:00:00",33.1700,9.1000
"2025-07-04 11:00:00",34.9700,9.6300
"2025-07-04 12:00:00",36.8000,10.1600
"2025-07-04 13:00:00",38.5900,10.6900
"2025-07-04 14:00:00",40.4000,11.2200
"2025-07-04 15:00:00",42.1900,11.7600
"2025-07-04 16:00:00",43.9500,12.2700
"2025-07-04 17:00:00",45.7000,12.7600
"2025-07-04 18:00:00",47.4300,13.2300
"2025-07-04 19:00:00",49.1500,13.6800
"2025-07-04 20:00:00",50.8000,14.0000
"2025-07-04 21:00:00",52.2000,14.2800
"2025-07-04 22:00:00",53.4000,14.5900
"2025-07-04 23:00:00",54.6700,14.9000
"2025-07-05 00:00:00",55.9400,15.1700
"2025-07-05 01:00:00",56.8200,15.4600
"2025-07-05 02:00:00",57.7200,15.7200
"2025-07-05 03:00:00",58.5700,15.9900
"2025-07-05 04:00:00",59.2000,16.3100
"2025-07-05 05:00:00",60.2300,16.6200
"2025-07-05 06:00:00",61.6100,16.9300
"2025-07-05 07:00:00",63.2400,17.4300
"2025-07-05 08:00:00",65.0300,17.9400
"2025-07-05 09:00:00",66.9100,18.4600
"2025-07-05 10:00:00",68.7700,18.9900
"2025-07-05 11:00:00",70.6200,19.5200
"2025-07-05 12:00:00",72.4200,20.0300
"2025-07-05 13:00:00",74.2600,20.5500
"2025-07-05 14:00:00",76.1200,21.1000
"2025-07-05 15:00:00",77.9700,21.6500
"2025-07-05 16:00:00",79.8100,22.2000
"2025-07-05 17:00:00",81.6200,22.7100
