#期間中のwater_HPの消費電力量の差分:曝気なし，28/27℃
datetime,Type,Value,baseline_time,baseline_value,Difference_time,Difference_EC
2025-08-25 06:00:00,08-25 to 08-27,511.56,2025-08-24T21:00:00Z,511.56,0,0
2025-08-25 07:00:00,08-25 to 08-27,512.15,2025-08-24T21:00:00Z,511.56,1,0.589999999999975
2025-08-25 08:00:00,08-25 to 08-27,512.75,2025-08-24T21:00:00Z,511.56,2,1.1899999999999977
2025-08-25 09:00:00,08-25 to 08-27,513.34,2025-08-24T21:00:00Z,511.56,3,1.7800000000000296
2025-08-25 10:00:00,08-25 to 08-27,513.93,2025-08-24T21:00:00Z,511.56,4,2.3699999999999477
2025-08-25 11:00:00,08-25 to 08-27,514.54,2025-08-24T21:00:00Z,511.56,5,2.9799999999999613
2025-08-25 12:00:00,08-25 to 08-27,515.15,2025-08-24T21:00:00Z,511.56,6,3.589999999999975
2025-08-25 13:00:00,08-25 to 08-27,515.78,2025-08-24T21:00:00Z,511.56,7,4.21999999999997
2025-08-25 14:00:00,08-25 to 08-27,516.4,2025-08-24T21:00:00Z,511.56,8,4.839999999999975
2025-08-25 15:00:00,08-25 to 08-27,517.01,2025-08-24T21:00:00Z,511.56,9,5.449999999999989
2025-08-25 16:00:00,08-25 to 08-27,517.59,2025-08-24T21:00:00Z,511.56,10,6.03000000000003
2025-08-25 17:00:00,08-25 to 08-27,518.13,2025-08-24T21:00:00Z,511.56,11,6.569999999999993
2025-08-25 18:00:00,08-25 to 08-27,518.55,2025-08-24T21:00:00Z,511.56,12,6.989999999999952
2025-08-25 19:00:00,08-25 to 08-27,518.87,2025-08-24T21:00:00Z,511.56,13,7.310000000000002
2025-08-25 20:00:00,08-25 to 08-27,519.28,2025-08-24T21:00:00Z,511.56,14,7.71999999999997
2025-08-25 21:00:00,08-25 to 08-27,519.71,2025-08-24T21:00:00Z,511.56,15,8.150000000000034
2025-08-25 22:00:00,08-25 to 08-27,520.11,2025-08-24T21:00:00Z,511.56,16,8.550000000000011
2025-08-25 23:00:00,08-25 to 08-27,520.5,2025-08-24T21:00:00Z,511.56,17,8.939999999999998
2025-08-26 00:00:00,08-25 to 08-27,520.82,2025-08-24T21:00:00Z,511.56,18,9.260000000000048
2025-08-26 01:00:00,08-25 to 08-27,521.14,2025-08-24T21:00:00Z,511.56,19,9.579999999999984
2025-08-26 02:00:00,08-25 to 08-27,521.47,2025-08-24T21:00:00Z,511.56,20,9.910000000000025
2025-08-26 03:00:00,08-25 to 08-27,521.77,2025-08-24T21:00:00Z,511.56,21,10.20999999999998
2025-08-26 04:00:00,08-25 to 08-27,522.09,2025-08-24T21:00:00Z,511.56,22,10.53000000000003
2025-08-26 05:00:00,08-25 to 08-27,522.42,2025-08-24T21:00:00Z,511.56,23,10.859999999999957
2025-08-26 06:00:00,08-25 to 08-27,522.93,2025-08-24T21:00:00Z,511.56,24,11.369999999999948
2025-08-26 07:00:00,08-25 to 08-27,523.47,2025-08-24T21:00:00Z,511.56,25,11.910000000000025
2025-08-26 08:00:00,08-25 to 08-27,524.09,2025-08-24T21:00:00Z,511.56,26,12.53000000000003
2025-08-26 09:00:00,08-25 to 08-27,524.7,2025-08-24T21:00:00Z,511.56,27,13.140000000000043
2025-08-26 10:00:00,08-25 to 08-27,525.31,2025-08-24T21:00:00Z,511.56,28,13.749999999999943
2025-08-26 11:00:00,08-25 to 08-27,525.93,2025-08-24T21:00:00Z,511.56,29,14.369999999999948
2025-08-26 12:00:00,08-25 to 08-27,526.55,2025-08-24T21:00:00Z,511.56,30,14.989999999999952
2025-08-26 13:00:00,08-25 to 08-27,527.17,2025-08-24T21:00:00Z,511.56,31,15.609999999999957
2025-08-26 14:00:00,08-25 to 08-27,527.79,2025-08-24T21:00:00Z,511.56,32,16.22999999999996
2025-08-26 15:00:00,08-25 to 08-27,528.39,2025-08-24T21:00:00Z,511.56,33,16.829999999999984
2025-08-26 16:00:00,08-25 to 08-27,528.98,2025-08-24T21:00:00Z,511.56,34,17.420000000000016
2025-08-26 17:00:00,08-25 to 08-27,529.54,2025-08-24T21:00:00Z,511.56,35,17.97999999999996
2025-08-26 18:00:00,08-25 to 08-27,529.95,2025-08-24T21:00:00Z,511.56,36,18.390000000000043
2025-08-26 19:00:00,08-25 to 08-27,530.28,2025-08-24T21:00:00Z,511.56,37,18.71999999999997
2025-08-26 20:00:00,08-25 to 08-27,530.63,2025-08-24T21:00:00Z,511.56,38,19.069999999999993
2025-08-26 21:00:00,08-25 to 08-27,531.06,2025-08-24T21:00:00Z,511.56,39,19.499999999999943
2025-08-26 22:00:00,08-25 to 08-27,531.46,2025-08-24T21:00:00Z,511.56,40,19.900000000000034
2025-08-26 23:00:00,08-25 to 08-27,531.86,2025-08-24T21:00:00Z,511.56,41,20.30000000000001
2025-08-27 00:00:00,08-25 to 08-27,532.21,2025-08-24T21:00:00Z,511.56,42,20.650000000000034
2025-08-27 01:00:00,08-25 to 08-27,532.38,2025-08-24T21:00:00Z,511.56,43,20.819999999999993
2025-08-27 02:00:00,08-25 to 08-27,532.61,2025-08-24T21:00:00Z,511.56,44,21.05000000000001
2025-08-27 03:00:00,08-25 to 08-27,532.92,2025-08-24T21:00:00Z,511.56,45,21.359999999999957
2025-08-27 04:00:00,08-25 to 08-27,533.25,2025-08-24T21:00:00Z,511.56,46,21.689999999999998
2025-08-27 05:00:00,08-25 to 08-27,533.57,2025-08-24T21:00:00Z,511.56,47,22.010000000000048
2025-08-27 06:00:00,08-25 to 08-27,534.04,2025-08-24T21:00:00Z,511.56,48,22.47999999999996
