hours,Air_hp_kWh,Water_hp_kWh
"2025-08-11 00:00:00",1382.6300,384.2000
"2025-08-11 01:00:00",1383.5400,384.5600
"2025-08-11 02:00:00",1384.7000,384.8900
"2025-08-11 03:00:00",1385.8500,385.2500
"2025-08-11 04:00:00",1387.1100,385.5600
"2025-08-11 05:00:00",1388.0400,385.8600
"2025-08-11 06:00:00",1389.6900,386.3300
"2025-08-11 07:00:00",1391.4100,386.8400
"2025-08-11 08:00:00",1393.1100,387.3100
"2025-08-11 09:00:00",1394.7800,387.6700
"2025-08-11 10:00:00",1396.2700,387.9000
"2025-08-11 11:00:00",1397.9400,388.2900
"2025-08-11 12:00:00",1399.6100,388.7700
"2025-08-11 13:00:00",1401.1700,389.2200
"2025-08-11 14:00:00",1402.5400,389.6600
"2025-08-11 15:00:00",1404.1000,390.1200
"2025-08-11 16:00:00",1405.7500,390.5800
"2025-08-11 17:00:00",1407.1900,391.0100
"2025-08-11 18:00:00",1408.2900,391.1500
"2025-08-11 19:00:00",1409.2300,391.3200
"2025-08-11 20:00:00",1409.9100,391.6100
"2025-08-11 21:00:00",1410.8900,391.8900
"2025-08-11 22:00:00",1411.9300,392.0600
"2025-08-11 23:00:00",1412.8500,392.1900
"2025-08-12 00:00:00",1413.7400,392.3800
"2025-08-12 01:00:00",1414.8200,392.6600
"2025-08-12 02:00:00",1415.8700,393.0500
"2025-08-12 03:00:00",1417.3100,393.3700
"2025-08-12 04:00:00",1418.3700,393.6500
"2025-08-12 05:00:00",1419.3000,393.9400
"2025-08-12 06:00:00",1420.9800,394.5000
"2025-08-12 07:00:00",1422.7400,394.9900
"2025-08-12 08:00:00",1424.5000,395.4400
"2025-08-12 09:00:00",1426.2800,395.8800
"2025-08-12 10:00:00",1428.0700,396.3800
"2025-08-12 11:00:00",1429.8600,396.8600
"2025-08-12 12:00:00",1431.6400,397.3100
"2025-08-12 13:00:00",1433.4300,397.7500
"2025-08-12 14:00:00",1435.2400,398.2200
"2025-08-12 15:00:00",1437.0400,398.6700
"2025-08-12 16:00:00",1438.8500,399.1200
"2025-08-12 17:00:00",1440.5100,399.5000
"2025-08-12 18:00:00",1441.2900,399.7400
"2025-08-12 19:00:00",1442.3600,399.8900
"2025-08-12 20:00:00",1443.3900,400.1800
"2025-08-12 21:00:00",1444.4100,400.4600
"2025-08-12 22:00:00",1445.4400,400.6600
"2025-08-12 23:00:00",1446.4000,400.7800
"2025-08-13 00:00:00",1447.0500,400.9900
"2025-08-13 01:00:00",1447.9600,401.2700
"2025-08-13 02:00:00",1448.9700,401.5500
"2025-08-13 03:00:00",1449.8600,401.6900
"2025-08-13 04:00:00",1450.5000,401.9900
"2025-08-13 05:00:00",1451.3500,402.3100
"2025-08-13 06:00:00",1452.7900,402.8200
"2025-08-13 07:00:00",1454.5400,403.3000
"2025-08-13 08:00:00",1456.3300,403.7700
"2025-08-13 09:00:00",1458.1300,404.2100
"2025-08-13 10:00:00",1459.9500,404.7200
"2025-08-13 11:00:00",1461.7700,405.1900
"2025-08-13 12:00:00",1463.6000,405.6600
"2025-08-13 13:00:00",1465.4500,406.1400
"2025-08-13 14:00:00",1467.2600,406.6100
"2025-08-13 15:00:00",1469.0500,407.0700
"2025-08-13 16:00:00",1470.8300,407.5400
"2025-08-13 17:00:00",1472.5100,407.9200
"2025-08-13 18:00:00",1473.3100,408.1600
"2025-08-13 19:00:00",1474.0600,408.2900
"2025-08-13 20:00:00",1474.7900,408.5000
"2025-08-13 21:00:00",1475.6700,408.7800
"2025-08-13 22:00:00",1476.4800,408.9600
