#一次熱交換槽への井戸水の注水時間
Equipment,day,off_seconds,off_time_hms
"井戸弁 @学長温室コントロール",2025-07-01,64545,17:55:45
"井戸弁 @学長温室コントロール",2025-07-02,61442,17:04:02
"井戸弁 @学長温室コントロール",2025-07-03,66603,18:30:03
"井戸弁 @学長温室コントロール",2025-07-04,65722,18:15:22
"井戸弁 @学長温室コントロール",2025-07-05,64289,17:51:29
"井戸弁 @学長温室コントロール",2025-07-06,72509,20:08:29
"井戸弁 @学長温室コントロール",2025-07-07,68520,19:02:00
"井戸弁 @学長温室コントロール",2025-07-08,76458,21:14:18
"井戸弁 @学長温室コントロール",2025-07-09,72416,20:06:56
"井戸弁 @学長温室コントロール",2025-07-10,63203,17:33:23
"井戸弁 @学長温室コントロール",2025-07-11,43723,12:08:43
"井戸弁 @学長温室コントロール",2025-07-12,43276,12:01:16
"井戸弁 @学長温室コントロール",2025-07-13,56667,15:44:27
"井戸弁 @学長温室コントロール",2025-07-14,60920,16:55:20
"井戸弁 @学長温室コントロール",2025-07-15,72639,20:10:39
"井戸弁 @学長温室コントロール",2025-07-16,59829,16:37:09
"井戸弁 @学長温室コントロール",2025-07-17,63720,17:42:00
"井戸弁 @学長温室コントロール",2025-07-18,60238,16:43:58
"井戸弁 @学長温室コントロール",2025-07-19,59563,16:32:43
"井戸弁 @学長温室コントロール",2025-07-20,65364,18:09:24
"井戸弁 @学長温室コントロール",2025-07-21,69880,19:24:40
"井戸弁 @学長温室コントロール",2025-07-22,66301,18:25:01
"井戸弁 @学長温室コントロール",2025-07-23,66880,18:34:40
"井戸弁 @学長温室コントロール",2025-07-24,64187,17:49:47
"井戸弁 @学長温室コントロール",2025-07-25,67070,18:37:50
"井戸弁 @学長温室コントロール",2025-07-26,64734,17:58:54
"井戸弁 @学長温室コントロール",2025-07-27,62443,17:20:43
"井戸弁 @学長温室コントロール",2025-07-28,56241,15:37:21
"井戸弁 @学長温室コントロール",2025-07-29,53835,14:57:15
"井戸弁 @学長温室コントロール",2025-07-30,46443,12:54:03
"井戸弁 @学長温室コントロール",2025-07-31,48714,13:31:54
"井戸弁 @学長温室コントロール",2025-08-01,47416,13:10:16
"井戸弁 @学長温室コントロール",2025-08-02,70547,19:35:47
"井戸弁 @学長温室コントロール",2025-08-03,61798,17:09:58
"井戸弁 @学長温室コントロール",2025-08-04,61089,16:58:09
"井戸弁 @学長温室コントロール",2025-08-05,66120,18:22:00
"井戸弁 @学長温室コントロール",2025-08-06,67210,18:40:10
"井戸弁 @学長温室コントロール",2025-08-07,65266,18:07:46
"井戸弁 @学長温室コントロール",2025-08-08,63009,17:30:09
"井戸弁 @学長温室コントロール",2025-08-09,55118,15:18:38
"井戸弁 @学長温室コントロール",2025-08-10,48695,13:31:35
"井戸弁 @学長温室コントロール",2025-08-11,62041,17:14:01
"井戸弁 @学長温室コントロール",2025-08-12,60252,16:44:12
"井戸弁 @学長温室コントロール",2025-08-13,51841,14:24:01
"井戸弁 @学長温室コントロール",2025-08-14,51833,14:23:53
"井戸弁 @学長温室コントロール",2025-08-15,50521,14:02:01
"井戸弁 @学長温室コントロール",2025-08-16,61650,17:07:30
"井戸弁 @学長温室コントロール",2025-08-17,61329,17:02:09
"井戸弁 @学長温室コントロール",2025-08-18,60134,16:42:14
"井戸弁 @学長温室コントロール",2025-08-19,59162,16:26:02
"井戸弁 @学長温室コントロール",2025-08-20,58802,16:20:02
"井戸弁 @学長温室コントロール",2025-08-21,47492,13:11:32
"井戸弁 @学長温室コントロール",2025-08-22,32642,09:04:02
"井戸弁 @学長温室コントロール",2025-08-23,40725,11:18:45
"井戸弁 @学長温室コントロール",2025-08-24,59081,16:24:41
"井戸弁 @学長温室コントロール",2025-08-25,30872,08:34:32
"井戸弁 @学長温室コントロール",2025-08-26,26847,07:27:27
"井戸弁 @学長温室コントロール",2025-08-27,37917,10:31:57
"井戸弁 @学長温室コントロール",2025-08-28,71295,19:48:15
"井戸弁 @学長温室コントロール",2025-08-29,84164,23:22:44
"井戸弁 @学長温室コントロール",2025-08-30,71235,19:47:15
"井戸弁 @学長温室コントロール",2025-08-31,76330,21:12:10
"井戸弁 @学長温室コントロール",2025-09-01,74170,20:36:10
"井戸弁 @学長温室コントロール",2025-09-02,65878,18:17:58
"井戸弁 @学長温室コントロール",2025-09-03,66168,18:22:48
"井戸弁 @学長温室コントロール",2025-09-04,54111,15:01:51
"井戸弁 @学長温室コントロール",2025-09-05,44756,12:25:56
"井戸弁 @学長温室コントロール",2025-09-06,55276,15:21:16
"井戸弁 @学長温室コントロール",2025-09-07,58495,16:14:55
"井戸弁 @学長温室コントロール",2025-09-08,60603,16:50:03
