センサー番号	設置場所	測定対象	センサーの種類	メーカー	測定開始日
①	貯水槽	貯水槽水温	サーミスタ	（株）オネスト	2025年8月日
②	貯水槽	井戸水供給水温	サーミスタ	（株）オネスト	2025年8月日
③	地下水熱源式HP	一次側往き水温	Pt100	ATE様提供品	2025年8月日
④	地下水熱源式HP	一次側戻り水温	Pt100	ATE様提供品	2025年8月日
⑤	地下水熱源式HP	二次側往き水温	サーミスタ	（株）ティアンドデイ	2025年8月日
⑥	地下水熱源式HP	二次側戻り水温	サーミスタ	（株）ティアンドデイ	2025年8月日
⑦<br>　	空気熱源式HP<br>　	室外機1<br>吸気側気温	サーミスタ<br>　	（株）ティアンドデイ<br>　	2025年8月日<br>　
⑧<br>　	空気熱源式HP<br>　	室外機1<br>排気側気温	サーミスタ<br>　	（株）ティアンドデイ<br>　	2025年8月日<br>　
⑨<br>　	空気熱源式HP<br>　	室外機2<br>吸気側気温	サーミスタ<br>　	（株）ティアンドデイ<br>　	2025年8月日<br>　
⑩<br>　	空気熱源式HP<br>　	室外機2<br>排気側気温	サーミスタ<br>　	（株）ティアンドデイ<br>　	2025年8月日<br>　
⑪<br>　	空気熱源式HP<br>　	二次側往き水温<br>　	Pt100<br>　	（株）立山科学<br>ハイテクノロジーズ	2025年8月日<br>　
⑫<br>　	空気熱源式HP<br>　	二次側戻り水温<br>　	Pt100<br>　	（株）立山科学<br>ハイテクノロジーズ	2025年8月日<br>　
